state_name,total_age_18_34,lives_alone,lives_with_spouse,lives_with_unmarried_partner,child_of_householder,lives_with_other_relatives,lives_with_other_nonrelatives,state_fips,pct_lives_alone,pct_lives_with_spouse,pct_lives_with_unmarried_partner,pct_child_of_householder,pct_lives_with_other_relatives,pct_lives_with_other_nonrelatives
Alabama,1061356,108222,271825,96542,337593,154574,92600,01,10.2,25.61,9.1,31.81,14.56,8.72
Alaska,165530,17788,54559,19276,43306,16556,14045,02,10.75,32.96,11.65,26.16,10.0,8.48
Arizona,1696532,156064,380988,230012,521611,229673,178184,04,9.2,22.46,13.56,30.75,13.54,10.5
Arkansas,640198,61553,202921,81285,161911,82689,49839,05,9.61,31.7,12.7,25.29,12.92,7.78
California,8936419,603697,1528425,925289,3494269,1362300,1022439,06,6.76,17.1,10.35,39.1,15.24,11.44
Colorado,1414457,169550,388654,222684,322421,129949,181199,08,11.99,27.48,15.74,22.79,9.19,12.81
Connecticut,741537,62512,140278,90269,305942,85825,56711,09,8.43,18.92,12.17,41.26,11.57,7.65
Delaware,203870,13124,42409,27482,75414,27971,17470,10,6.44,20.8,13.48,36.99,13.72,8.57
District of Columbia,196240,54969,27837,31680,26196,23235,32323,11,28.01,14.19,16.14,13.35,11.84,16.47
Florida,4613044,378389,930487,512555,1690372,660002,441239,12,8.2,20.17,11.11,36.64,14.31,9.57
Georgia,2451062,225495,556913,235423,842563,372307,218361,13,9.2,22.72,9.6,34.38,15.19,8.91
Hawaii,276891,20224,54552,23941,92215,45610,40349,15,7.3,19.7,8.65,33.3,16.47,14.57
Idaho,428408,27242,143709,52805,108999,45329,50324,16,6.36,33.54,12.33,25.44,10.58,11.75
Illinois,2770725,338691,559889,345032,971360,324075,231678,17,12.22,20.21,12.45,35.06,11.7,8.36
Indiana,1495813,156807,405159,209092,424732,183253,116770,18,10.48,27.09,13.98,28.39,12.25,7.81
Iowa,676620,87686,193350,105634,146310,67471,76169,19,12.96,28.58,15.61,21.62,9.97,11.26
Kansas,639203,79473,202169,87553,149036,60787,60185,20,12.43,31.63,13.7,23.32,9.51,9.42
Kentucky,964295,90285,292656,133662,255368,118501,73823,21,9.36,30.35,13.86,26.48,12.29,7.66
Louisiana,951816,101742,214146,120303,287535,151643,76447,22,10.69,22.5,12.64,30.21,15.93,8.03
Maine,258200,28455,68643,49553,67677,18216,25656,23,11.02,26.59,19.19,26.21,7.05,9.94
Maryland,1270372,120604,252591,125263,488833,165781,117300,24,9.49,19.88,9.86,38.48,13.05,9.23
Massachusetts,1533352,133407,271880,206303,547891,156463,217408,25,8.7,17.73,13.45,35.73,10.2,14.18
Michigan,2169437,219755,497190,296064,704556,250825,201047,26,10.13,22.92,13.65,32.48,11.56,9.27
Minnesota,1205549,143428,306315,189717,326320,108598,131171,27,11.9,25.41,15.74,27.07,9.01,10.88
Mississippi,597609,56627,153403,51757,197434,107557,30831,28,9.48,25.67,8.66,33.04,18.0,5.16
Missouri,1313551,145759,369174,190004,349995,148403,110216,29,11.1,28.11,14.46,26.64,11.3,8.39
Montana,231859,25163,60387,36884,54070,23312,32043,30,10.85,26.04,15.91,23.32,10.05,13.82
Nebraska,435369,56565,134899,71974,88711,42758,40462,31,12.99,30.98,16.53,20.38,9.82,9.29
Nevada,719080,59344,135124,93513,252080,111702,67317,32,8.25,18.79,13.0,35.06,15.53,9.36
New Hampshire,274190,21989,60313,39870,100030,24695,27293,33,8.02,22.0,14.54,36.48,9.01,9.95
New Jersey,1959039,125989,392845,194176,864695,250081,131253,34,6.43,20.05,9.91,44.14,12.77,6.7
New Mexico,455941,40426,85859,62433,151258,77902,38063,35,8.87,18.83,13.69,33.17,17.09,8.35
