NAME,B09021_008E,B09021_009E,B09021_010E,B09021_011E,B09021_012E,B09021_013E,B09021_014E,state
Alabama,1061356,108222,271825,96542,337593,154574,92600,01
Alaska,165530,17788,54559,19276,43306,16556,14045,02
Arizona,1696532,156064,380988,230012,521611,229673,178184,04
Arkansas,640198,61553,202921,81285,161911,82689,49839,05
California,8936419,603697,1528425,925289,3494269,1362300,1022439,06
Colorado,1414457,169550,388654,222684,322421,129949,181199,08
Connecticut,741537,62512,140278,90269,305942,85825,56711,09
Delaware,203870,13124,42409,27482,75414,27971,17470,10
District of Columbia,196240,54969,27837,31680,26196,23235,32323,11
Florida,4613044,378389,930487,512555,1690372,660002,441239,12
Georgia,2451062,225495,556913,235423,842563,372307,218361,13
Hawaii,276891,20224,54552,23941,92215,45610,40349,15
Idaho,428408,27242,143709,52805,108999,45329,50324,16
Illinois,2770725,338691,559889,345032,971360,324075,231678,17
Indiana,1495813,156807,405159,209092,424732,183253,116770,18
Iowa,676620,87686,193350,105634,146310,67471,76169,19
Kansas,639203,79473,202169,87553,149036,60787,60185,20
Kentucky,964295,90285,292656,133662,255368,118501,73823,21
Louisiana,951816,101742,214146,120303,287535,151643,76447,22
Maine,258200,28455,68643,49553,67677,18216,25656,23
Maryland,1270372,120604,252591,125263,488833,165781,117300,24
Massachusetts,1533352,133407,271880,206303,547891,156463,217408,25
Michigan,2169437,219755,497190,296064,704556,250825,201047,26
Minnesota,1205549,143428,306315,189717,326320,108598,131171,27
Mississippi,597609,56627,153403,51757,197434,107557,30831,28
Missouri,1313551,145759,369174,190004,349995,148403,110216,29
Montana,231859,25163,60387,36884,54070,23312,32043,30
Nebraska,435369,56565,134899,71974,88711,42758,40462,31
Nevada,719080,59344,135124,93513,252080,111702,67317,32
New Hampshire,274190,21989,60313,39870,100030,24695,27293,33
New Jersey,1959039,125989,392845,194176,864695,250081,131253,34
New Mexico,455941,40426,85859,62433,151258,77902,38063,35
New York,4240973,449560,775123,480391,1521226,552955,461718,36
North Carolina,2356142,263330,626399,288130,667246,294752,216285,37
North Dakota,182966,33595,60999,32151,22528,12167,21526,38
Ohio,2481244,283443,632095,373304,707337,280898,204167,39
Oklahoma,887498,92927,260249,109989,231797,118155,74381,40
Oregon,906378,87987,215623,148967,237454,90915,125432,41
Pennsylvania,2600393,290710,596012,363983,902728,259020,187940,42
Rhode Island,234324,22214,42607,36105,79111,26567,27720,44
South Carolina,1105501,105694,294062,122373,326971,154964,101437,45
South Dakota,186813,29563,60906,25984,33079,18719,18562,46
Tennessee,1572059,167705,450224,189491,431836,210144,122659,47
Texas,7277984,747663,1773457,773576,2412861,1005105,565322,48
Utah,912336,54560,293578,81381,244664,104994,133159,49
Vermont,120167,12746,26817,29144,31783,7074,12603,50
Virginia,1841574,189288,449334,209795,589507,206430,197220,51
Washington,1805376,195743,472349,270975,483199,180899,202211,53
West Virginia,341152,29332,99424,51138,96686,39401,25171,54
Wisconsin,1238160,170044,304005,208863,313690,107917,133641,55
Wyoming,119545,12715,43026,20862,19348,8900,14694,56
Puerto Rico,699535,33211,57786,74893,401966,121583,10096,72
