respondent_id,survey_weight,school_enrollment,employment_status,prepared_for_independence,advice_finances,advice_career,advice_mental_health,advice_physical_health,advice_friendships,relies_on_parents_emotionally,phone_video_frequency,text_frequency,in_person_frequency,financial_independence,received_financial_help,lives_with_parents,relationship_rating,true_self_with_parent,parent_relies_on_child_emotionally,knows_parent_beyond_parent_role,parent_involvement_level,communication_satisfaction,age_group,gender,education_level,race_ethnicity,marital_status,income_tier,census_region
102198,0.362393397854942,3.0,2.0,1.0,1.0,1.0,2.0,4.0,1.0,1.0,,,,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,1,2.0,1.0,1.0,6.0,1.0,1.0
274825,1.6814015105575095,4.0,1.0,2.0,1.0,2.0,3.0,2.0,3.0,3.0,3.0,2.0,5.0,1.0,2.0,3.0,1.0,2.0,2.0,1.0,3.0,3.0,1,1.0,1.0,1.0,6.0,3.0,4.0
278114,0.3960992910346649,4.0,2.0,1.0,5.0,5.0,5.0,4.0,5.0,2.0,3.0,2.0,3.0,1.0,2.0,3.0,1.0,2.0,3.0,2.0,3.0,3.0,2,2.0,1.0,1.0,1.0,1.0,2.0
309053,3.5883102340932944,4.0,1.0,1.0,3.0,2.0,4.0,3.0,4.0,3.0,3.0,3.0,5.0,4.0,2.0,3.0,2.0,1.0,4.0,3.0,3.0,2.0,1,1.0,1.0,1.0,2.0,2.0,4.0
319198,0.3212080274888562,4.0,1.0,4.0,3.0,4.0,5.0,5.0,5.0,5.0,5.0,2.0,5.0,2.0,1.0,3.0,5.0,5.0,4.0,4.0,3.0,1.0,2,1.0,1.0,1.0,6.0,2.0,2.0
601394,4.319443365904856,4.0,1.0,2.0,3.0,3.0,5.0,4.0,5.0,4.0,4.0,3.0,5.0,1.0,2.0,3.0,2.0,2.0,4.0,2.0,3.0,3.0,1,1.0,2.0,1.0,2.0,2.0,4.0
601538,1.517542625273916,4.0,1.0,1.0,4.0,4.0,3.0,5.0,4.0,4.0,,,,1.0,1.0,1.0,3.0,3.0,3.0,4.0,2.0,2.0,2,2.0,2.0,3.0,6.0,1.0,3.0
603590,1.812167388042596,4.0,3.0,1.0,3.0,2.0,2.0,2.0,3.0,3.0,,,,2.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,3.0,2,1.0,2.0,4.0,6.0,3.0,4.0
604534,0.4009511910867191,4.0,1.0,1.0,3.0,3.0,4.0,3.0,4.0,3.0,2.0,2.0,2.0,1.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,2,2.0,1.0,1.0,1.0,3.0,2.0
605031,2.0461155556067,4.0,1.0,1.0,4.0,4.0,4.0,5.0,5.0,4.0,3.0,3.0,3.0,1.0,2.0,3.0,2.0,1.0,5.0,2.0,3.0,3.0,2,1.0,3.0,1.0,1.0,2.0,1.0
605493,0.5942078379936837,4.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,5.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2,2.0,1.0,4.0,1.0,2.0,4.0
606171,0.4463020804917564,3.0,1.0,4.0,4.0,2.0,4.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,2,2.0,1.0,3.0,2.0,2.0,4.0
606790,0.50831401847266,4.0,1.0,1.0,2.0,3.0,5.0,2.0,5.0,4.0,2.0,2.0,2.0,1.0,2.0,3.0,2.0,2.0,4.0,3.0,2.0,2.0,2,2.0,1.0,3.0,1.0,2.0,4.0
607694,0.618016868628595,4.0,1.0,3.0,3.0,3.0,5.0,5.0,5.0,5.0,2.0,2.0,6.0,1.0,2.0,3.0,2.0,2.0,1.0,1.0,3.0,3.0,2,2.0,2.0,3.0,2.0,3.0,4.0
608491,2.5030488089344987,4.0,1.0,2.0,3.0,4.0,4.0,4.0,5.0,4.0,1.0,6.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,1.0,3.0,1,2.0,2.0,2.0,6.0,1.0,3.0
610786,0.5975662126396958,3.0,1.0,1.0,3.0,3.0,3.0,5.0,3.0,1.0,3.0,2.0,5.0,1.0,2.0,3.0,1.0,2.0,2.0,3.0,3.0,3.0,2,1.0,1.0,5.0,6.0,2.0,3.0
612332,0.6464232893018635,4.0,3.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,2.0,1.0,2.0,2.0,1.0,3.0,3.0,4.0,5.0,1.0,1.0,1.0,2,1.0,2.0,1.0,6.0,2.0,2.0
615859,0.6313720159485123,4.0,1.0,1.0,2.0,3.0,3.0,4.0,4.0,2.0,3.0,1.0,4.0,2.0,1.0,3.0,2.0,1.0,3.0,3.0,3.0,2.0,1,1.0,1.0,1.0,6.0,2.0,1.0
617876,1.6847429696994776,4.0,1.0,2.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,2.0,1.0,1.0,2.0,3.0,2.0,2.0,4.0,2.0,3.0,2.0,2,1.0,2.0,1.0,6.0,2.0,1.0
619330,0.1153522785847851,4.0,1.0,1.0,4.0,5.0,5.0,5.0,5.0,5.0,,,,1.0,1.0,1.0,1.0,2.0,3.0,3.0,3.0,3.0,2,1.0,1.0,3.0,6.0,3.0,2.0
622962,0.3144036928102103,3.0,1.0,1.0,3.0,2.0,4.0,2.0,3.0,3.0,3.0,3.0,5.0,2.0,2.0,3.0,1.0,2.0,3.0,3.0,3.0,3.0,2,1.0,1.0,1.0,1.0,2.0,4.0
623762,0.3633296742809729,4.0,1.0,2.0,4.0,5.0,5.0,3.0,5.0,3.0,4.0,3.0,4.0,2.0,1.0,3.0,1.0,1.0,5.0,3.0,2.0,2.0,2,1.0,1.0,1.0,1.0,2.0,4.0
623771,2.829656817579432,4.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,3.0,5.0,1.0,2.0,3.0,2.0,2.0,4.0,3.0,2.0,2.0,2,1.0,2.0,1.0,1.0,2.0,3.0
623809,0.9165120240644484,4.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,2,2.0,1.0,1.0,2.0,2.0,2.0
625088,1.509724482034236,4.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,1.0,1.0,4.0,2.0,3.0,2.0,2,2.0,3.0,1.0,2.0,1.0,3.0
625237,2.58458320120069,4.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,2.0,5.0,1.0,1.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,2,1.0,1.0,1.0,1.0,2.0,4.0
626152,0.2539530529224423,4.0,1.0,1.0,4.0,4.0,4.0,4.0,5.0,4.0,3.0,3.0,5.0,1.0,2.0,3.0,2.0,1.0,5.0,2.0,3.0,3.0,2,1.0,1.0,1.0,1.0,3.0,2.0
630914,1.3408364814360956,4.0,2.0,2.0,4.0,3.0,3.0,3.0,4.0,4.0,,,,1.0,2.0,1.0,1.0,1.0,4.0,2.0,3.0,3.0,2,1.0,2.0,1.0,6.0,2.0,2.0
633392,0.6545217770736571,4.0,3.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,6.0,2.0,3.0,1.0,2.0,3.0,5.0,5.0,5.0,5.0,3.0,3.0,2,2.0,2.0,1.0,6.0,1.0,4.0
636675,2.7380608597943903,4.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,2.0,1.0,3.0,2.0,1.0,2.0,3.0,2.0,2.0,2,2.0,3.0,1.0,1.0,1.0,3.0
637024,1.3361204343155595,4.0,1.0,4.0,3.0,5.0,5.0,5.0,5.0,4.0,3.0,3.0,5.0,1.0,1.0,3.0,3.0,3.0,5.0,3.0,3.0,2.0,1,1.0,1.0,2.0,6.0,2.0,3.0
643728,0.5541329383750135,4.0,1.0,3.0,5.0,5.0,4.0,5.0,5.0,4.0,3.0,2.0,6.0,1.0,2.0,3.0,3.0,2.0,4.0,1.0,3.0,3.0,2,1.0,1.0,1.0,6.0,2.0,1.0
645149,0.5165282484794159,4.0,2.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,2.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2,2.0,2.0,1.0,1.0,1.0,3.0
