respondent_id,survey_weight,school_enrollment,employment_status,prepared_for_independence,advice_finances,advice_career,advice_mental_health,advice_physical_health,advice_friendships,relies_on_parents_emotionally,phone_video_frequency,text_frequency,in_person_frequency,financial_independence,received_financial_help,lives_with_parents,relationship_rating,true_self_with_parent,parent_relies_on_child_emotionally,knows_parent_beyond_parent_role,parent_involvement_level,communication_satisfaction,age_group,gender,education_level,race_ethnicity,marital_status,income_tier,census_region
102198,0.362393397854942,4-year college or graduate school,Working part time,A great deal,Extremely often,Extremely often,Very often,Rarely,Extremely often,A great deal,,,,Mostly,Yes,Lives with all parents,Excellent,Most of the time,A great deal,Extremely well,More involved than desired,About as often as desired,18–29,Woman,College graduate or higher,"White, non-Hispanic",Never married,Lower income,Northeast
274825,1.6814015105575095,Not enrolled in school,Working full time,A fair amount,Extremely often,Very often,Sometimes,Very often,Sometimes,Some,A few times a month,A few times a week,Less than once a month,Completely,No,Does not live with a parent,Excellent,Most of the time,A fair amount,Extremely well,As involved as desired,About as often as desired,18–29,Man,College graduate or higher,"White, non-Hispanic",Never married,Upper income,West
278114,0.3960992910346649,Not enrolled in school,Working part time,A great deal,Never,Never,Never,Rarely,Never,A fair amount,A few times a month,A few times a week,A few times a month,Completely,No,Does not live with a parent,Excellent,Most of the time,Some,Very well,As involved as desired,About as often as desired,30–34,Woman,College graduate or higher,"White, non-Hispanic",Married,Lower income,Midwest
309053,3.5883102340932944,Not enrolled in school,Working full time,A great deal,Sometimes,Very often,Rarely,Sometimes,Rarely,Some,A few times a month,A few times a month,Less than once a month,A little,No,Does not live with a parent,Very good,All of the time,Not much,Somewhat well,As involved as desired,Less often than desired,18–29,Man,College graduate or higher,"White, non-Hispanic",Living with a partner,Middle income,West
319198,0.3212080274888562,Not enrolled in school,Working full time,Not much,Sometimes,Rarely,Never,Never,Never,Not at all,Less than once a month,A few times a week,Less than once a month,Mostly,Yes,Does not live with a parent,Poor,Never,Not much,Not too well,As involved as desired,More often than desired,30–34,Man,College graduate or higher,"White, non-Hispanic",Never married,Middle income,Midwest
601394,4.319443365904856,Not enrolled in school,Working full time,A fair amount,Sometimes,Sometimes,Never,Rarely,Never,Not much,Once a month,A few times a month,Less than once a month,Completely,No,Does not live with a parent,Very good,Most of the time,Not much,Very well,As involved as desired,About as often as desired,18–29,Man,Some college,"White, non-Hispanic",Living with a partner,Middle income,West
601538,1.517542625273916,Not enrolled in school,Working full time,A great deal,Rarely,Rarely,Sometimes,Never,Rarely,Not much,,,,Completely,Yes,Lives with all parents,Good,Some of the time,Some,Not too well,Less involved than desired,Less often than desired,30–34,Woman,Some college,Hispanic,Never married,Lower income,South
603590,1.812167388042596,Not enrolled in school,Not currently working for pay,A great deal,Sometimes,Very often,Very often,Very often,Sometimes,Some,,,,Mostly,Yes,Lives with all parents,Excellent,Most of the time,A fair amount,Somewhat well,As involved as desired,About as often as desired,30–34,Man,Some college,"Asian, non-Hispanic",Never married,Upper income,West
604534,0.4009511910867191,Not enrolled in school,Working full time,A great deal,Sometimes,Sometimes,Rarely,Sometimes,Rarely,Some,A few times a week,A few times a week,A few times a week,Completely,No,Does not live with a parent,Good,Most of the time,Some,Somewhat well,As involved as desired,About as often as desired,30–34,Woman,College graduate or higher,"White, non-Hispanic",Married,Upper income,Midwest
605031,2.0461155556067,Not enrolled in school,Working full time,A great deal,Rarely,Rarely,Rarely,Never,Never,Not much,A few times a month,A few times a month,A few times a month,Completely,No,Does not live with a parent,Very good,All of the time,Not at all,Very well,As involved as desired,About as often as desired,30–34,Man,High school or less,"White, non-Hispanic",Married,Middle income,Northeast
605493,0.5942078379936837,Not enrolled in school,Working part time,A great deal,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,A fair amount,A few times a week,A few times a week,Less than once a month,Mostly,Yes,Does not live with a parent,Very good,Most of the time,A fair amount,Very well,Less involved than desired,Less often than desired,30–34,Woman,College graduate or higher,"Asian, non-Hispanic",Married,Middle income,West
606171,0.4463020804917564,4-year college or graduate school,Working full time,Not much,Rarely,Very often,Rarely,Very often,Very often,A great deal,A few times a week,A few times a week,A few times a week,Completely,No,Lives with at least one parent,Excellent,Most of the time,A great deal,Somewhat well,As involved as desired,About as often as desired,30–34,Woman,College graduate or higher,Hispanic,Living with a partner,Middle income,West
606790,0.50831401847266,Not enrolled in school,Working full time,A great deal,Very often,Sometimes,Never,Very often,Never,Not much,A few times a week,A few times a week,A few times a week,Completely,No,Does not live with a parent,Very good,Most of the time,Not much,Somewhat well,Less involved than desired,Less often than desired,30–34,Woman,College graduate or higher,Hispanic,Married,Middle income,West
607694,0.618016868628595,Not enrolled in school,Working full time,Some,Sometimes,Sometimes,Never,Never,Never,Not at all,A few times a week,A few times a week,Never,Completely,No,Does not live with a parent,Very good,Most of the time,A great deal,Extremely well,As involved as desired,About as often as desired,30–34,Woman,Some college,Hispanic,Living with a partner,Upper income,West
608491,2.5030488089344987,Not enrolled in school,Working full time,A fair amount,Sometimes,Rarely,Rarely,Rarely,Never,Not much,At least once a day,Never,At least once a day,Mostly,No,Lives with at least one parent,Very good,Most of the time,Some,Somewhat well,More involved than desired,About as often as desired,18–29,Woman,Some college,"Black, non-Hispanic",Never married,Lower income,South
610786,0.5975662126396958,4-year college or graduate school,Working full time,A great deal,Sometimes,Sometimes,Sometimes,Never,Sometimes,A great deal,A few times a month,A few times a week,Less than once a month,Completely,No,Does not live with a parent,Excellent,Most of the time,A fair amount,Somewhat well,As involved as desired,About as often as desired,30–34,Man,College graduate or higher,"Other or multiracial, non-Hispanic",Never married,Middle income,South
612332,0.6464232893018635,Not enrolled in school,Not currently working for pay,Not much,Rarely,Rarely,Never,Rarely,Rarely,Not much,A few times a week,At least once a day,A few times a week,Mostly,Yes,Does not live with a parent,Good,Rarely,Not at all,Extremely well,More involved than desired,More often than desired,30–34,Man,Some college,"White, non-Hispanic",Never married,Middle income,Midwest
615859,0.6313720159485123,Not enrolled in school,Working full time,A great deal,Very often,Sometimes,Sometimes,Rarely,Rarely,A fair amount,A few times a month,At least once a day,Once a month,Mostly,Yes,Does not live with a parent,Very good,All of the time,Some,Somewhat well,As involved as desired,Less often than desired,18–29,Man,College graduate or higher,"White, non-Hispanic",Never married,Middle income,Northeast
617876,1.6847429696994776,Not enrolled in school,Working full time,A fair amount,Sometimes,Sometimes,Rarely,Rarely,Sometimes,Some,A few times a month,A few times a week,At least once a day,Completely,No,Does not live with a parent,Very good,Most of the time,Not much,Very well,As involved as desired,Less often than desired,30–34,Man,Some college,"White, non-Hispanic",Never married,Middle income,Northeast
619330,0.1153522785847851,Not enrolled in school,Working full time,A great deal,Rarely,Never,Never,Never,Never,Not at all,,,,Completely,Yes,Lives with all parents,Excellent,Most of the time,Some,Somewhat well,As involved as desired,About as often as desired,30–34,Man,College graduate or higher,Hispanic,Never married,Upper income,Midwest
622962,0.3144036928102103,4-year college or graduate school,Working full time,A great deal,Sometimes,Very often,Rarely,Very often,Sometimes,Some,A few times a month,A few times a month,Less than once a month,Mostly,No,Does not live with a parent,Excellent,Most of the time,Some,Somewhat well,As involved as desired,About as often as desired,30–34,Man,College graduate or higher,"White, non-Hispanic",Married,Middle income,West
623762,0.3633296742809729,Not enrolled in school,Working full time,A fair amount,Rarely,Never,Never,Sometimes,Never,Some,Once a month,A few times a month,Once a month,Mostly,Yes,Does not live with a parent,Excellent,All of the time,Not at all,Somewhat well,Less involved than desired,Less often than desired,30–34,Man,College graduate or higher,"White, non-Hispanic",Married,Middle income,West
623771,2.829656817579432,Not enrolled in school,Working full time,A fair amount,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Some,Less than once a month,A few times a month,Less than once a month,Completely,No,Does not live with a parent,Very good,Most of the time,Not much,Somewhat well,Less involved than desired,Less often than desired,30–34,Man,Some college,"White, non-Hispanic",Married,Middle income,South
623809,0.9165120240644484,Not enrolled in school,Working full time,A great deal,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,A fair amount,A few times a week,A few times a week,A few times a week,Completely,No,Does not live with a parent,Very good,Most of the time,A fair amount,Very well,As involved as desired,About as often as desired,30–34,Woman,College graduate or higher,"White, non-Hispanic",Living with a partner,Middle income,Midwest
625088,1.509724482034236,Not enrolled in school,Working part time,A fair amount,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Some,A few times a month,A few times a month,A few times a month,Mostly,No,Does not live with a parent,Excellent,All of the time,Not much,Very well,As involved as desired,Less often than desired,30–34,Woman,High school or less,"White, non-Hispanic",Living with a partner,Lower income,South
625237,2.58458320120069,Not enrolled in school,Working full time,A fair amount,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Some,Once a month,A few times a week,Less than once a month,Completely,Yes,Does not live with a parent,Good,Most of the time,A fair amount,Somewhat well,As involved as desired,Less often than desired,30–34,Man,College graduate or higher,"White, non-Hispanic",Married,Middle income,West
626152,0.2539530529224423,Not enrolled in school,Working full time,A great deal,Rarely,Rarely,Rarely,Rarely,Never,Not much,A few times a month,A few times a month,Less than once a month,Completely,No,Does not live with a parent,Very good,All of the time,Not at all,Very well,As involved as desired,About as often as desired,30–34,Man,College graduate or higher,"White, non-Hispanic",Married,Upper income,Midwest
630914,1.3408364814360956,Not enrolled in school,Working part time,A fair amount,Rarely,Sometimes,Sometimes,Sometimes,Rarely,Not much,,,,Completely,No,Lives with all parents,Excellent,All of the time,Not much,Very well,As involved as desired,About as often as desired,30–34,Man,Some college,"White, non-Hispanic",Never married,Middle income,Midwest
633392,0.6545217770736571,Not enrolled in school,Not currently working for pay,Not much,Never,Rarely,Never,Never,Never,Not at all,Never,A few times a week,A few times a month,Completely,No,Does not live with a parent,Poor,Never,Not at all,Not well at all,As involved as desired,About as often as desired,30–34,Woman,Some college,"White, non-Hispanic",Never married,Lower income,West
