QKEY,INTERVIEW_START_W137,INTERVIEW_END_W137,DEVICE_TYPE_W137,LANG_W137,XSAMPLE_W137,XMARITAL_W137,XKIDS1_W137,XKIDS2_W137,XEVERMAR_W137,SCHLMOD_W137,LIVINGPAR2_W137,PARENTNUM_W137,PARENT_GEND_1_W137,PARENT_GEND_2_W137,PARENT_GEND_3_W137,PARENT_GEND_4_W137,PARENT_GEND_5_W137,PARENT_GEND_6_W137,PARENT_GEND_7_W137,PARENT_GEND_8_W137,PARENT_GEND_9_W137,PARENT_CONTACT_1_W137,PARENT_CONTACT_2_W137,PARENT_CONTACT_3_W137,PARENT_CONTACT_4_W137,PARENT_CONTACT_5_W137,PARENT_CONTACT_6_W137,PARENT_CONTACT_7_W137,PARENT_CONTACT_8_W137,PARENT_CONTACT_9_W137,DOV_PARENT_SELECT_W137,DOV_PARENT_GENDER_W137,CPREPARE_W137,CADVICE_a_W137,CADVICE_b_W137,CADVICE_c_W137,CADVICE_d_W137,CADVICE_e_W137,CADVICE_f_W137,CADVICE_g_W137,CADVICE_h_W137,CDISAGREE_a_W137,CDISAGREE_b_W137,CDISAGREE_c_W137,CDISAGREE_d_W137,CDISAGREE_e_W137,CDISAGREE_f_W137,CDISAGREE_g_W137,CDISAGREE_h_W137,CEMOTIONAL1_W137,CLIVEPAR1_W137,CCOMMPAR1_a_W137,CCOMMPAR1_b_W137,CCOMMPAR1_c_W137,EMPLSIT_W137,MARRYPREF1_W137,CMARRY2_W137,CHILDPREF_W137,CCHILD_W137,CFINANCES1_W137,CFINANCES2_W137,CFINANCES3_W137,CFINANCES4_a_W137,CFINANCES4_b_W137,CFINANCES4_c_W137,CFINANCES4_d_W137,CFINANCES4_e_W137,CFINANCES5_W137,CRATEREL_W137,CTRUSELF_W137,CEMOTIONAL2_W137,CPARKNOW_W137,CINVOLV_W137,CCOMMPAR2_W137,CLIVEPAR2_W137,CLIVEPAR3_a_W137,CLIVEPAR3_b_W137,CLIVEPAR3_c_W137,CLIVEPAR3_d_W137,CLIVEPAR3_e_W137,CLIVEPAR5_a_W137,CLIVEPAR5_b_W137,CHILDGRP_1_W137,CHILDGRP_1_REFUSED_W137,CHILDGRP_2_W137,CHILDGRP_2_REFUSED_W137,CHILDGRP_3_W137,CHILDGRP_3_REFUSED_W137,CHILD_AGE_1_RECODE_W137,CHILD_AGE_2_RECODE_W137,CHILD_AGE_3_RECODE_W137,CHILD_AGE_4_RECODE_W137,CHILD_AGE_5_RECODE_W137,CHILD_AGE_6_RECODE_W137,CHILD_AGE_7_RECODE_W137,CHILD_AGE_8_RECODE_W137,CHILD_AGE_9_RECODE_W137,CHILDTOTAL_W137,CHILD_GEND_1_W137,CHILD_GEND_2_W137,CHILD_GEND_3_W137,CHILD_GEND_4_W137,CHILD_GEND_5_W137,CHILD_GEND_6_W137,CHILD_GEND_7_W137,CHILD_GEND_8_W137,CHILD_GEND_9_W137,CHILD_CONTACT_1_W137,CHILD_CONTACT_2_W137,CHILD_CONTACT_3_W137,CHILD_CONTACT_4_W137,CHILD_CONTACT_5_W137,CHILD_CONTACT_6_W137,CHILD_CONTACT_7_W137,CHILD_CONTACT_8_W137,CHILD_CONTACT_9_W137,DOV_CHILD_SELECT_W137,DOV_CHILD_GENDER_W137,PSUCCESS_W137,PPREPARE_W137,PADVICE_a_W137,PADVICE_b_W137,PADVICE_c_W137,PADVICE_d_W137,PADVICE_e_W137,PADVICE_f_W137,PADVICE_g_W137,PDISAGREE_a_W137,PDISAGREE_b_W137,PDISAGREE_c_W137,PDISAGREE_d_W137,PDISAGREE_e_W137,PDISAGREE_f_W137,PDISAGREE_g_W137,PPASTADV_W137,PEMOTIONAL1_W137,PLIVECHILD1_W137,PCOMMCHILD1_a_W137,PCOMMCHILD1_b_W137,PCOMMCHILD1_c_W137,PFINANCES1_W137,PFINANCES2_W137,PFINANCES3_W137,PFINANCES4_W137,PRATEREL_W137,PTRUKNOW_W137,PEMOTIONAL2_W137,PFEEL_a_W137,PFEEL_b_W137,PFEEL_c_W137,PFEEL_d_W137,PCINVOLV_W137,PCOMMCHILD2_W137,PMONITOR_W137,PLIVECHILD2_W137,PLIVECHILD3_a_W137,PLIVECHILD3_b_W137,CDISABIL_W137,PMILESTONE1_a_W137,PMILESTONE1_b_W137,PMILESTONE1_c_W137,PMILESTONE1_d_W137,PMILESTONE2_W137,PMILESTONE3_W137,F_METRO,F_CREGION,F_CDIVISION,F_USR_SELFID,F_AGECAT,F_GENDER,F_EDUCCAT,F_EDUCCAT2,F_HISP,F_HISP_ORIGIN,F_YEARSINUS_RECODE,F_RACECMB,F_RACETHNMOD,F_BIRTHPLACE,F_MARITAL,F_RELIG,F_BORN,F_RELIGCAT1,F_ATTENDPER,F_PARTY_FINAL,F_PARTYLN_FINAL,F_PARTYSUM_FINAL,F_PARTYSUMIDEO_FINAL,F_REG,F_INC_SDT1,F_IDEO,F_INTFREQ,F_VOLSUM,F_INC_TIER2,WEIGHT_W137_CHILD,WEIGHT_W137_PARENT
102198,2023-10-28T20:40:15Z,2023-10-28T20:51:32Z,1,1,1,6,2,2,2,3.0,2.0,2.0,2.0,1.0,,,,,,,,1.0,1.0,,,,,,,,1.0,1.0,1.0,1.0,1.0,2.0,4.0,1.0,1.0,,,4.0,4.0,5.0,5.0,4.0,5.0,,,1.0,1.0,,,,2.0,1.0,5.0,1.0,4.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,3.0,3.0,4.0,2.0,1.0,1.0,,2.0,2.0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,2.0,2,1,2,1,6,2,,1,1,1,1,6,1,1.0,1,2,1,,1,1,1,1,2,1.0,1,1,0.362393397854942,
274825,2023-10-27T17:44:12Z,2023-10-27T17:47:10Z,1,1,1,6,2,2,2,4.0,2.0,2.0,2.0,1.0,,,,,,,,1.0,1.0,,,,,,,,1.0,2.0,2.0,1.0,2.0,3.0,2.0,3.0,3.0,,,99.0,4.0,4.0,4.0,4.0,4.0,,,3.0,3.0,3.0,2.0,5.0,1.0,1.0,2.0,1.0,1.0,1.0,,2.0,,,,,,2.0,1.0,2.0,2.0,1.0,3.0,3.0,4.0,,,,,,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,4.0,8.0,1,1,1,1,6,2,,1,1,1,1,6,9,,3,5,2,,2,3,3,8,3,1.0,2,3,1.6814015105575095,
278114,2023-10-31T15:57:15Z,2023-10-31T16:02:15Z,2,1,1,1,1,2,1,4.0,2.0,2.0,1.0,2.0,,,,,,,,1.0,1.0,,,,,,,,1.0,1.0,1.0,5.0,5.0,5.0,4.0,5.0,,5.0,3.0,5.0,4.0,5.0,5.0,5.0,,5.0,5.0,2.0,3.0,3.0,2.0,3.0,2.0,,,,,1.0,,2.0,,,,,,2.0,1.0,2.0,3.0,2.0,3.0,3.0,4.0,,,,,,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,3.0,2,2,2,1,5,2,,1,1,1,1,1,1,1.0,1,4,1,,1,1,1,4,2,2.0,2,1,0.3960992910346649,
309053,2023-10-29T20:27:03Z,2023-10-29T23:51:09Z,2,1,1,2,2,2,2,4.0,2.0,2.0,1.0,2.0,,,,,,,,1.0,1.0,,,,,,,,1.0,2.0,1.0,3.0,2.0,4.0,3.0,4.0,,3.0,,4.0,5.0,5.0,4.0,4.0,,3.0,,3.0,3.0,3.0,3.0,5.0,1.0,1.0,3.0,3.0,5.0,4.0,2.0,2.0,,,,,,2.0,2.0,1.0,4.0,3.0,3.0,2.0,4.0,,,,,,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,4.0,8.0,2,1,1,1,5,2,,1,1,1,1,2,1,2.0,1,5,3,1.0,1,2,2,4,3,2.0,2,2,3.5883102340932944,
319198,2023-10-29T19:37:10Z,2023-10-29T19:41:07Z,2,1,1,6,2,2,2,4.0,2.0,2.0,1.0,2.0,,,,,,,,1.0,1.0,,,,,,,,1.0,2.0,4.0,3.0,4.0,5.0,5.0,5.0,4.0,,,3.0,2.0,4.0,3.0,4.0,3.0,,,5.0,3.0,5.0,2.0,5.0,1.0,1.0,3.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,5.0,5.0,4.0,4.0,3.0,1.0,4.0,,,,,,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,4.0,2,2,1,1,5,2,,1,1,1,1,6,11,,4,5,4,2.0,2,4,1,3,4,1.0,2,2,0.3212080274888562,
601394,2023-10-27T17:02:30Z,2023-10-27T17:07:51Z,2,1,1,2,2,2,2,4.0,2.0,2.0,1.0,2.0,,,,,,,,1.0,1.0,,,,,,,,1.0,1.0,2.0,3.0,3.0,5.0,4.0,5.0,,4.0,,3.0,4.0,2.0,2.0,5.0,,4.0,,4.0,3.0,4.0,3.0,5.0,1.0,1.0,4.0,1.0,3.0,1.0,,2.0,,,,,,2.0,2.0,2.0,4.0,2.0,3.0,3.0,4.0,,,,,,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,4.0,9.0,3,1,1,2,3,2,,1,1,1,1,2,9,,3,6,3,1.0,1,1,1,6,2,1.0,2,2,4.319443365904856,
601538,2023-11-04T20:38:02Z,2023-11-04T20:46:51Z,2,2,1,6,2,2,2,4.0,2.0,2.0,2.0,1.0,,,,,,,,1.0,1.0,,,,,,,,1.0,1.0,1.0,4.0,4.0,3.0,5.0,4.0,4.0,,,4.0,5.0,5.0,5.0,4.0,4.0,,,4.0,1.0,,,,1.0,1.0,5.0,1.0,5.0,1.0,,1.0,2.0,2.0,1.0,1.0,2.0,1.0,3.0,3.0,3.0,4.0,2.0,2.0,3.0,3.0,3.0,5.0,3.0,,1.0,1.0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,7.0,1,2,2,2,3,1,1.0,3,1,3,4,6,12,,3,3,4,2.0,2,3,3,3,3,1.0,2,1,1.517542625273916,
603590,2023-10-29T17:07:13Z,2023-10-29T17:13:27Z,2,1,1,6,2,2,2,4.0,2.0,2.0,1.0,2.0,,,,,,,,1.0,1.0,,,,,,,,1.0,2.0,1.0,3.0,2.0,2.0,2.0,3.0,4.0,,,4.0,4.0,4.0,4.0,4.0,3.0,,,3.0,1.0,,,,3.0,1.0,4.0,1.0,4.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,3.0,3.0,3.0,1.0,1.0,1.0,2.0,4.0,,2.0,1.0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,4.0,8.0,3,2,1,2,4,2,,1,4,4,1,6,1,1.0,1,3,4,1.0,1,1,1,9,1,2.0,1,3,1.812167388042596,
604534,2023-10-31T17:52:15Z,2023-10-31T19:02:45Z,2,1,1,1,1,2,1,4.0,2.0,2.0,2.0,1.0,,,,,,,,1.0,1.0,,,,,,,,1.0,2.0,1.0,3.0,3.0,4.0,3.0,4.0,,3.0,3.0,4.0,4.0,3.0,4.0,3.0,,4.0,3.0,3.0,3.0,2.0,2.0,2.0,1.0,,,,,1.0,,2.0,,,,,,2.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,,,,,,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,3.0,2,2,2,1,6,2,,4,1,1,4,1,10,,3,3,2,,2,4,1,9,4,2.0,1,3,0.4009511910867191,
605031,2023-11-02T07:05:40Z,2023-11-02T07:10:29Z,2,1,1,1,1,2,1,4.0,2.0,2.0,1.0,2.0,,,,,,,,1.0,1.0,,,,,,,,1.0,1.0,1.0,4.0,4.0,4.0,5.0,5.0,,4.0,3.0,3.0,5.0,4.0,5.0,4.0,,1.0,5.0,4.0,3.0,3.0,3.0,3.0,1.0,,,,,1.0,,2.0,,,,,,2.0,2.0,1.0,5.0,2.0,3.0,3.0,4.0,,,,,,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,2.0,2,2,1,3,2,2,,1,1,1,1,1,2,2.0,2,2,2,,2,4,1,6,4,1.0,2,2,2.0461155556067,
